Date,BTC-Open,BTC-High,BTC-Low,BTC-Close,BTC-Adj Close,BTC-Volume,ETH-Open,ETH-High,ETH-Low,ETH-Close,ETH-Adj Close,ETH-Volume,DOGE-Open,DOGE-High,DOGE-Low,DOGE-Close,DOGE-Adj Close,DOGE-Volume,S&P-Price,S&P-Open,S&P-High,S&P-Low,NASDAQ-Price,NASDAQ-Open,NASDAQ-High,NASDAQ-Low,NASDAQ-Vol.,DOW-Price,DOW-Open,DOW-High,DOW-Low,DOW-Vol.,GOLD-Price,GOLD-Open,GOLD-High,GOLD-Low,OIL-Price,OIL-Open,OIL-High,OIL-Low,Month,Day,Year
2019-06-22,10175.92383,11157.3457,10107.03516,10701.69141,10701.69141,29995204861.0,295.115082,315.189728,294.728241,309.38031,309.38031,10613731255,0.003229,0.003354,0.003185,0.003279,0.003279,57373528,2950.5,2952.7,2964.2,2946.9,8031.71,8028.69,8073.02,8011.2,1200000000.0,26719.13,26749.12,26907.37,26705.87,485560000.0,1400.1,1391.2,1415.4,1386.1,57.43,57.26,57.98,56.66,6,22,2019
2019-06-23,10696.69141,11246.14453,10556.0957,10855.37109,10855.37109,20998326502.0,309.416687,318.565674,305.764587,307.827789,307.827789,8161062380,0.003285,0.003496,0.00325,0.003304,0.003304,44229340,2950.5,2952.7,2964.2,2946.9,8031.71,8028.69,8073.02,8011.2,1200000000.0,26719.13,26749.12,26907.37,26705.87,485560000.0,1400.1,1391.2,1415.4,1386.1,57.43,57.26,57.98,56.66,6,23,2019
2019-06-24,10853.74414,11065.89648,10610.42773,11011.10254,11011.10254,19271652365.0,307.722137,312.329346,299.55954,310.424683,310.424683,8205712062,0.003314,0.003431,0.003234,0.003368,0.003368,42747865,2945.3,2951.4,2954.9,2944.1,8005.7,8040.58,8047.56,8004.63,528180000.0,26727.54,26727.61,26806.52,26723.37,232390000.0,1418.2,1403.9,1425.1,1403.6,57.9,57.72,58.22,56.75,6,24,2019
2019-06-25,11007.20215,11790.91699,11007.20215,11790.91699,11790.91699,24879684533.0,310.678619,318.126312,307.643158,318.126312,318.126312,9641764965,0.003367,0.003395,0.00327,0.003392,0.003392,41001826,2917.4,2945.8,2946.5,2916.0,7884.72,8005.27,8007.31,7879.15,547780000.0,26548.22,26731.61,26752.31,26527.66,282160000.0,1418.7,1423.4,1442.9,1415.1,57.83,57.74,58.84,57.2,6,25,2019
2019-06-26,11778.58106,13796.48926,11755.59766,13016.23145,13016.23145,45105733173.0,317.992584,361.398682,315.954865,336.753174,336.753174,16437084081,0.003391,0.00345,0.003252,0.003379,0.003379,64528905,2913.8,2926.1,2932.6,2913.0,7909.97,7933.93,7974.28,7903.07,537920000.0,26536.82,26599.42,26660.04,26536.33,274340000.0,1415.4,1427.2,1427.9,1405.0,59.38,58.84,59.93,58.65,6,26,2019
2019-06-27,13017.125,13311.14453,10491.85254,11182.80664,11182.80664,39977475223.0,336.9599,343.433441,278.573242,294.267639,294.267639,14038092503,0.00339,0.003495,0.00299,0.003329,0.003329,76165577,2924.9,2919.7,2929.3,2918.6,7967.76,7939.36,7976.58,7935.47,523930000.0,26526.58,26523.72,26607.24,26465.32,246930000.0,1412.0,1412.7,1415.3,1401.4,59.43,59.27,59.73,58.61,6,27,2019
2019-06-28,11162.16797,12445.17481,10914.49512,12407.33203,12407.33203,35087757766.0,294.143036,313.031555,292.939819,311.226105,311.226105,11514656820,0.003332,0.003523,0.003315,0.00349,0.00349,65310778,2941.8,2932.9,2944.0,2929.1,8006.24,7988.76,8010.15,7961.46,1760000000.0,26599.96,26605.93,26638.35,26522.27,499350000.0,1413.7,1413.3,1427.8,1408.6,58.47,59.22,59.8,57.75,6,28,2019
2019-06-29,12400.76367,12400.91016,11508.37891,11959.37109,11959.37109,29923961128.0,311.284424,322.043549,294.753845,320.058899,320.058899,10929374565,0.003479,0.003486,0.003314,0.003405,0.003405,46594481,2941.8,2932.9,2944.0,2929.1,8006.24,7988.76,8010.15,7961.46,1760000000.0,26599.96,26605.93,26638.35,26522.27,499350000.0,1413.7,1413.3,1427.8,1408.6,58.47,59.22,59.8,57.75,6,29,2019
2019-06-30,11931.99121,12178.38379,10799.00879,10817.15527,10817.15527,27256473494.0,319.584045,322.789581,290.695984,290.695984,290.695984,10303111000,0.003418,0.003446,0.003247,0.003258,0.003258,43549174,2941.8,2932.9,2944.0,2929.1,8006.24,7988.76,8010.15,7961.46,1760000000.0,26599.96,26605.93,26638.35,26522.27,499350000.0,1413.7,1413.3,1427.8,1408.6,58.47,59.22,59.8,57.75,6,30,2019
2019-07-01,10796.93066,11206.43945,10089.31445,10583.13477,10583.13477,29378589324.0,290.268494,301.026154,280.022827,293.641113,293.641113,10292223948,0.00325,0.003325,0.003093,0.003238,0.003238,42771993,2964.3,2971.4,2977.9,2952.2,8091.16,8145.85,8150.45,8059.29,583420000.0,26717.43,26805.86,26890.64,26616.21,285350000.0,1389.3,1401.8,1401.9,1384.7,59.09,59.27,60.28,58.34,7,1,2019
2019-07-02,10588.68359,10912.18848,9737.884766,10801.67773,10801.67773,31015895223.0,293.537262,295.655853,272.60257,291.596436,291.596436,10618413952,0.003237,0.00336,0.00308,0.003204,0.003204,41581109,2973.0,2964.7,2973.2,2955.9,8109.09,8086.65,8109.37,8063.1,488380000.0,26786.68,26719.53,26787.56,26632.65,219270000.0,1408.0,1386.2,1424.0,1386.2,56.25,59.14,59.43,56.09,7,2,2019
2019-07-03,10818.15625,11968.07813,10818.15625,11961.26953,11961.26953,30796494294.0,291.764618,303.342041,291.401642,303.099976,303.099976,9926711979,0.003207,0.003336,0.003172,0.003313,0.003313,37586127,2995.8,2978.1,2995.8,2978.0,8170.23,8129.57,8170.23,8122.34,408200000.0,26966.0,26832.32,26966.0,26831.44,149840000.0,1420.9,1424.7,1441.0,1414.7,57.34,56.49,57.48,56.04,7,3,2019
